Username: OBud, GroupId: 1000
Username: _apt, GroupId: 65534
Username: backup, GroupId: 34
Username: bin, GroupId: 2
Username: daemon, GroupId: 1
Username: games, GroupId: 60
Username: gnats, GroupId: 41
Username: irc, GroupId: 39
Username: landscape, GroupId: 121
Username: list, GroupId: 38
Username: lp, GroupId: 7
Username: mail, GroupId: 8
Username: man, GroupId: 12
Username: messagebus, GroupId: 105
Username: news, GroupId: 9
Username: nobody, GroupId: 65534
Username: postgres, GroupId: 118
Username: proxy, GroupId: 13
Username: redis, GroupId: 119
Username: root, GroupId: 0
Username: sshd, GroupId: 65534
Username: sync, GroupId: 65534
Username: sys, GroupId: 3
Username: syslog, GroupId: 111
Username: systemd-network, GroupId: 102
Username: systemd-resolve, GroupId: 103
Username: systemd-timesync, GroupId: 106
Username: tcpdump, GroupId: 113
Username: uucp, GroupId: 10
Username: uuidd, GroupId: 112
Username: www-data, GroupId: 33
